,Mean,Standard Deviation
left wrist-left elbow-left shoulder,109.38265035150512,24.889217565830897
right wrist-right elbow-right shoulder,106.75891540253542,21.840257793152766
left elbow-left shoulder-left hip,140.18529312762087,17.372605751630907
right elbow-right shoulder-right hip,139.01579533662402,16.37373183269089
left shoulder-left hip-left knee,66.85172499540653,17.539889881368165
right shoulder-right hip-right knee,65.77430860744185,18.921816960527664
left hip-left knee-left ankle,167.78724748558375,11.307550662738949
right hip-right knee-right ankle,164.23401707817834,12.0208047897621
