,Mean,Standard Deviation
left wrist-left elbow-left shoulder,133.61071137272546,27.949398933321415
right wrist-right elbow-right shoulder,135.72216279989235,27.92829854883238
left elbow-left shoulder-left hip,60.736896599749585,28.127336363395408
right elbow-right shoulder-right hip,62.26004817157844,27.657103659007245
left shoulder-left hip-left knee,152.21011988916578,26.310749819251843
right shoulder-right hip-right knee,155.09088566633542,25.197693632323652
left hip-left knee-left ankle,157.85898298017804,26.75106156171064
right hip-right knee-right ankle,158.80159880025155,23.920854875119694
